name,symbol,region,price,change_pct,trend,volatility_20d
S&P 500,^GSPC,US,7435.03,-0.88,BULLISH,0.58
Nasdaq,^IXIC,US,26363.84,-1.02,BULLISH,0.85
Dow Jones,^DJI,US,49601.19,-0.92,BULLISH,0.52
Russell 2000,^RUT,US,2800.21,-2.2,BULLISH,0.9
FTSE 100,^FTSE,UK,10195.37,-1.71,BEARISH,0.79
DAX,^GDAXI,Germany,23950.57,-2.07,NEUTRAL,1.0
CAC 40,^FCHI,France,7952.55,-1.6,BEARISH,1.05
Euro Stoxx 50,^STOXX50E,EU,5827.76,-0.57,BEARISH,0.95
Nikkei 225,^N225,Japan,61409.29,-0.98,BULLISH,1.19
Hang Seng,^HSI,HK,25962.73,0.0,BULLISH,0.82
Shanghai Comp,000001.SS,China,4135.39,-1.52,BULLISH,0.51
BSE Sensex,^BSESN,India,75237.99,1.06,BEARISH,0.78
Nifty 50,^NSEI,India,23643.5,1.18,BEARISH,0.73
KOSPI,^KS11,Korea,7493.18,1.75,BULLISH,1.91
ASX 200,^AXJO,Australia,8630.8,0.12,BEARISH,0.5
Bovespa,^BVSP,Brazil,176686.11,-0.94,BEARISH,0.95
