name,symbol,region,price,change_pct,trend,volatility_20d
S&P 500,^GSPC,US,7444.25,0.58,BULLISH,0.57
Nasdaq,^IXIC,US,26402.34,1.2,BULLISH,0.84
Dow Jones,^DJI,US,49693.2,-0.14,BULLISH,0.54
Russell 2000,^RUT,US,2843.93,0.04,BULLISH,0.87
FTSE 100,^FTSE,UK,10325.35,0.59,BEARISH,0.72
DAX,^GDAXI,Germany,24136.81,0.76,NEUTRAL,0.85
CAC 40,^FCHI,France,8007.97,0.35,BEARISH,0.96
Euro Stoxx 50,^STOXX50E,EU,5861.07,0.91,NEUTRAL,0.96
Nikkei 225,^N225,Japan,62654.05,-0.98,BULLISH,1.19
Hang Seng,^HSI,HK,26449.6,0.23,BULLISH,0.84
Shanghai Comp,000001.SS,China,4203.7,-0.92,BULLISH,0.47
BSE Sensex,^BSESN,India,75305.86,0.93,BEARISH,0.77
Nifty 50,^NSEI,India,23692.55,1.2,BEARISH,0.73
KOSPI,^KS11,Korea,7981.41,1.75,BULLISH,1.91
ASX 200,^AXJO,Australia,8640.7,0.12,BEARISH,0.5
Bovespa,^BVSP,Brazil,177098.3,-1.8,BEARISH,0.91
