name,symbol,region,price,change_pct,trend,volatility_20d
S&P 500,^GSPC,US,7501.24,0.77,BULLISH,0.6
Nasdaq,^IXIC,US,26635.22,0.88,BULLISH,0.87
Dow Jones,^DJI,US,50063.46,0.75,BULLISH,0.56
Russell 2000,^RUT,US,2863.09,0.67,BULLISH,0.9
FTSE 100,^FTSE,UK,10372.93,0.46,BEARISH,0.72
DAX,^GDAXI,Germany,24456.26,1.32,NEUTRAL,0.91
CAC 40,^FCHI,France,8082.27,0.93,BEARISH,0.98
Euro Stoxx 50,^STOXX50E,EU,5934.96,1.26,NEUTRAL,0.99
Nikkei 225,^N225,Japan,61962.92,-1.1,BULLISH,1.21
Hang Seng,^HSI,HK,26138.98,-0.95,BULLISH,0.79
Shanghai Comp,000001.SS,China,4183.06,0.12,BULLISH,0.46
BSE Sensex,^BSESN,India,75398.72,1.06,BEARISH,0.78
Nifty 50,^NSEI,India,23686.1,-0.01,BEARISH,0.72
KOSPI,^KS11,Korea,7698.52,-3.54,BULLISH,1.98
ASX 200,^AXJO,Australia,8631.3,-0.11,BEARISH,0.5
Bovespa,^BVSP,Brazil,178365.86,0.72,BEARISH,0.92
